中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
130.162.144.191,443,2a09:bac5:4757:155::22:11c,KR,Seoul,隧道,205 ms,33 Mbps,4339 kB/s,4339.0
140.83.81.109,443,140.83.81.109,JP,Osaka,中转,244 ms,32 Mbps,4190 kB/s,4190.0
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,89 ms,31 Mbps,4088 kB/s,4088.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,223 ms,31 Mbps,4071 kB/s,4071.0
168.138.215.251,443,168.138.215.251,JP,Tokyo,中转,269 ms,31 Mbps,3970 kB/s,3970.0
152.69.171.12,443,152.69.171.12,AU,Sydney,中转,220 ms,30 Mbps,3954 kB/s,3954.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,226 ms,30 Mbps,3883 kB/s,3883.0
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,215 ms,30 Mbps,3842 kB/s,3842.0
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,119 ms,29 Mbps,3788 kB/s,3788.0
168.138.209.31,443,104.28.206.182,JP,Tokyo,隧道,239 ms,27 Mbps,3547 kB/s,3547.0
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,109 ms,26 Mbps,3407 kB/s,3407.0
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,118 ms,25 Mbps,3273 kB/s,3273.0
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,103 ms,19 Mbps,2533 kB/s,2533.0
47.89.244.253,443,47.89.244.253,US,San Jose,中转,64 ms,8 Mbps,1143 kB/s,1143.0
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,238 ms,6 Mbps,894 kB/s,894.0
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,232 ms,3 Mbps,511 kB/s,511.0
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,143 ms,2 Mbps,365 kB/s,365.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,228 ms,2 Mbps,276 kB/s,276.0
47.254.65.110,443,47.254.65.110,US,San Jose,中转,88 ms,1 Mbps,184 kB/s,184.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,234 ms,0 Mbps,122 kB/s,122.0
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,277 ms,0 Mbps,119 kB/s,119.0
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,254 ms,0 Mbps,38 kB/s,38.0
47.57.14.118,443,198.11.178.111,US,San Jose,隧道,0 ms,0 Mbps,32 kB/s,32.0
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,168 ms,0 Mbps,17 kB/s,17.0
47.243.236.86,443,47.243.236.86,HK,Hong Kong,中转,253 ms,0 Mbps,4 kB/s,4.0
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,0 ms,0 Mbps,3 kB/s,3.0
138.3.254.39,443,138.3.254.39,DE,222 Mbps,28467 kB/s,,,,
129.146.46.164,443,129.146.46.164,US,348 Mbps,44646 kB/s,,,,
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,45 Mbps,5781 kB/s,,,,,
